央视频道,#genre#
鳳凰資訊台,http://jkk2.luyutv.com/dream.m3u8?id=4fe4c66ee4bccf69&keygemini=55f4da939cba988214f051320d49f74f
鳳凰香港台,http://jkk1.luyutv.com/dream.m3u8?id=18f4b1361755053b&keygemini=55f4da939cba988214f051320d49f74f
鳳凰香港台 b,http://jkk1.luyutv.com/dream.m3u8?id=1117e8f2e7b87c26&keygemini=55f4da939cba988214f051320d49f74f
翡翠台,http://jkk1.luyutv.com/dream.m3u8?id=040080a10ca83ca6&keygemini=55f4da939cba988214f051320d49f74f
欢喜台,http://jkk2.luyutv.com/dream.m3u8?id=9d892e5a6322664f&keygemini=55f4da939cba988214f051320d49f74f
全佳,http://jkk1.luyutv.com/dream.m3u8?id=a2865135e0b3acc2&keygemini=55f4da939cba988214f051320d49f74f
双星,http://jkk2.luyutv.com/dream.m3u8?id=76f530e9b859accc&keygemini=55f4da939cba988214f051320d49f74f
爱奇艺,http://jkk1.luyutv.com/dream.m3u8?id=66c0f5e001520f67&keygemini=55f4da939cba988214f051320d49f74f
TVB星河,http://jkk1.luyutv.com/dream.m3u8?id=95ea6cdff3b8931e&keygemini=55f4da939cba988214f051320d49f74f
天映经典,http://jkk2.luyutv.com/dream.m3u8?id=a1bf278f9a91ce5f&keygemini=55f4da939cba988214f051320d49f74f
亞洲旅遊台,http://jkk1.luyutv.com/dream.m3u8?id=e1b094035d742d30&keygemini=55f4da939cba988214f051320d49f74f
中视,http://jkk2.luyutv.com/dream.m3u8?id=cdc74a506271c366&keygemini=55f4da939cba988214f051320d49f74f
華視,http://jkk1.luyutv.com/dream.m3u8?id=18c0db9780e22c69&keygemini=55f4da939cba988214f051320d49f74f
公视,http://jkk2.luyutv.com/dream.m3u8?id=ffda95f05cc6a1f9&keygemini=55f4da939cba988214f051320d49f74f
東森綜合,http://jkk2.luyutv.com/dream.m3u8?id=61b2abc734288c0d&keygemini=55f4da939cba988214f051320d49f74f
東森超視,http://jkk2.luyutv.com/dream.m3u8?id=94e3c34eaa1bcd25&keygemini=55f4da939cba988214f051320d49f74f
東森羊片,http://jkk1.luyutv.com/dream.m3u8?id=c57cae743859c528&keygemini=55f4da939cba988214f051320d49f74f
東森幼幼,http://jkk2.luyutv.com/dream.m3u8?id=ec670e90fde2ce0e&keygemini=55f4da939cba988214f051320d49f74f
TVBS,http://jkk1.luyutv.com/dream.m3u8?id=9a6a42cce33aeb9a&keygemini=55f4da939cba988214f051320d49f74f
TVBS歡樂台,http://jkk2.luyutv.com/dream.m3u8?id=80567d137091508d&keygemini=55f4da939cba988214f051320d49f74f
中天綜合,http://jkk2.luyutv.com/dream.m3u8?id=1e31a2c3f139fd6a&keygemini=55f4da939cba988214f051320d49f74f
中天娛樂,http://jkk1.luyutv.com/dream.m3u8?id=32a9fe570cd582e7&keygemini=55f4da939cba988214f051320d49f74f
中天亞洲台,http://jkk2.luyutv.com/dream.m3u8?id=af841422515e3e72&keygemini=55f4da939cba988214f051320d49f74f
八大第1台,http://jkk1.luyutv.com/dream.m3u8?id=1483a04c77ce53f6&keygemini=55f4da939cba988214f051320d49f74f
八大綜合台,http://jkk2.luyutv.com/dream.m3u8?id=8b9f1d85c3564440&keygemini=55f4da939cba988214f051320d49f74f
八大戲劇台,http://jkk1.luyutv.com/dream.m3u8?id=60fc78a4a1f3bb4c&keygemini=55f4da939cba988214f051320d49f74f
三立台湾台,http://jkk2.luyutv.com/dream.m3u8?id=6283eb5012de86ad&keygemini=55f4da939cba988214f051320d49f74f
三立都會台,http://jkk2.luyutv.com/dream.m3u8?id=96e1ad658fa8c137&keygemini=55f4da939cba988214f051320d49f74f
衛視中文台,http://jkk2.luyutv.com/dream.m3u8?id=404127e196c3058c&keygemini=55f4da939cba988214f051320d49f74f
JET综合,http://jkk1.luyutv.com/dream.m3u8?id=e692c91f48f5d9a7&keygemini=55f4da939cba988214f051320d49f74f
壹新聞,http://jkk1.luyutv.com/dream.m3u8?id=7e5baf74b98ddb49&keygemini=55f4da939cba988214f051320d49f74f
年代新聞,http://jkk1.luyutv.com/dream.m3u8?id=00cfc2a1e2438416&keygemini=55f4da939cba988214f051320d49f74f
衛視電影台,http://jkk2.luyutv.com/dream.m3u8?id=70f9f334aba0c31a&keygemini=55f4da939cba988214f051320d49f74f
龍祥時代,http://jkk2.luyutv.com/dream.m3u8?id=bc06fb097e134619&keygemini=55f4da939cba988214f051320d49f74f
AXN,http://jkk2.luyutv.com/dream.m3u8?id=100baf62dbfaef87&keygemini=55f4da939cba988214f051320d49f74f
Cinema World,http://jkk2.luyutv.com/dream.m3u8?id=5a84a416e411988c&keygemini=55f4da939cba988214f051320d49f74f
FOX Movies,http://jkk1.luyutv.com/dream.m3u8?id=f22d2e8880b86d65&keygemini=55f4da939cba988214f051320d49f74f
HBO HD,http://jkk1.luyutv.com/dream.m3u8?id=8ce8760851817aa8&keygemini=55f4da939cba988214f051320d49f74f
好萊塢電影,http://jkk1.luyutv.com/dream.m3u8?id=0a8c9b2675e42d18&keygemini=55f4da939cba988214f051320d49f74f
國家地理頻道,http://jkk1.luyutv.com/dream.m3u8?id=c67c255980ef1578&keygemini=55f4da939cba988214f051320d49f74f
緯來體育,http://jkk1.luyutv.com/dream.m3u8?id=e7e134c42ea0722f&keygemini=55f4da939cba988214f051320d49f74f
緯來戲劇,http://jkk1.luyutv.com/dream.m3u8?id=8f858a568b92ab02&keygemini=55f4da939cba988214f051320d49f74f
緯來電影,http://jkk1.luyutv.com/dream.m3u8?id=1e33988385802069&keygemini=55f4da939cba988214f051320d49f74f
博斯魅力,http://jkk1.luyutv.com/dream.m3u8?id=a62c0424ca1783c2&keygemini=55f4da939cba988214f051320d49f74f
好消息2,http://jkk1.luyutv.com/dream.m3u8?id=f6d4b0012eb97d00&keygemini=55f4da939cba988214f051320d49f74f
迪士尼頻道,http://jkk2.luyutv.com/dream.m3u8?id=7ef54a4e192d05df&keygemini=55f4da939cba988214f051320d49f74f
nick,http://jkk2.luyutv.com/dream.m3u8?id=9faf68eff963362a&keygemini=55f4da939cba988214f051320d49f74f
A&E,http://jkk1.luyutv.com/dream.m3u8?id=4ebb6ba4eca6c913&keygemini=55f4da939cba988214f051320d49f74f
Comedy Central,http://jkk2.luyutv.com/dream.m3u8?id=4f0df73b18b5fb52&keygemini=55f4da939cba988214f051320d49f74f
Disney Junior,http://jkk2.luyutv.com/dream.m3u8?id=c1304924bc5497e2&keygemini=55f4da939cba988214f051320d49f74f
Disney XD,http://jkk2.luyutv.com/dream.m3u8?id=4f0df73b18b5fb52&keygemini=55f4da939cba988214f051320d49f74f
